,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32
E437,A,B,C,A,D,C,,,D,D,,A,C,E,B,A,B,D,,,E,D,B,D,E,C,C,,A,E,A,B
E438,D,D,D,B,A,D,E,,D,A,D,C,C,D,C,C,A,A,B,B,E,B,,D,A,C,D,C,,A,A,A
E439,A,D,,B,E,D,E,A,D,A,,,C,B,C,A,E,D,B,B,,A,D,E,A,,B,D,C,C,A,
E440,D,D,C,B,E,D,D,C,D,D,E,,A,C,C,C,D,C,D,B,C,B,,D,A,A,A,C,,E,A,D
E441,B,D,A,A,D,,A,,D,D,E,C,,,B,A,E,A,,B,,C,D,D,,A,D,,C,C,A,C
E442,D,B,C,A,A,C,D,C,D,A,D,D,B,B,A,C,E,C,A,B,C,C,A,D,A,C,A,C,D,A,E,A
E443,A,A,C,B,,,E,,D,A,E,,,D,C,,A,B,,B,D,C,D,,D,,A,B,B,,A,
E444,D,D,,A,E,,D,C,D,D,D,B,C,,C,,E,B,B,B,A,,D,,A,D,D,C,,A,A,D
E445,A,D,D,A,E,D,E,A,D,C,D,A,B,B,B,C,B,D,A,B,,B,D,C,A,C,D,,C,B,A,C
E446,,,B,E,C,C,D,D,D,A,B,,C,,C,D,E,D,C,B,C,,D,D,E,C,A,C,D,,D,
E447,A,D,C,B,A,D,E,E,C,A,E,C,C,C,C,A,A,D,E,B,D,B,D,D,A,A,A,C,B,A,A,A
E448,C,,,A,E,D,,,C,C,E,,,,B,C,E,B,,B,,A,C,,A,,E,,B,,A,
E449,A,D,C,B,A,D,D,C,D,B,D,B,A,C,C,A,B,D,E,B,E,A,E,D,A,C,A,D,B,C,D,D
E450,B,D,B,D,E,B,A,E,D,A,E,A,,,C,C,C,C,C,B,E,C,,A,,D,A,,D,B,A,B
E451,D,D,B,A,A,D,E,B,D,A,D,D,C,E,A,B,E,C,A,B,E,C,E,D,A,A,A,C,C,B,A,B
E452,,E,C,C,,A,B,E,D,C,,B,,,A,C,E,B,D,B,C,C,B,D,B,,,C,,,D,
E453,D,D,D,C,A,E,E,E,D,A,D,,A,,D,C,E,D,A,B,E,B,C,D,A,C,E,C,C,B,A,A
E454,B,D,B,A,C,D,D,A,D,C,C,C,B,D,B,C,E,C,A,B,C,A,D,C,D,A,A,D,D,B,A,D
E455,C,B,,A,E,A,A,C,D,A,,A,A,A,E,B,E,D,A,B,D,,D,,C,,A,,D,A,A,C
E456,C,B,D,B,,,E,,D,D,,,C,,C,B,E,C,,B,E,,,,D,,E,,,,E,C
E457,E,D,C,A,D,B,A,B,D,C,E,E,A,D,A,B,D,D,D,B,A,C,A,C,E,C,D,B,D,C,C,B
E458,D,D,D,A,C,A,E,B,D,D,E,A,E,C,A,C,E,C,D,B,B,E,C,E,E,C,B,C,D,C,B,B
E459,D,D,C,B,A,D,D,C,D,A,D,E,D,B,B,B,E,C,A,B,C,B,C,B,C,C,B,C,B,E,E,A
E460,D,D,B,C,E,B,E,B,E,B,D,D,A,D,B,C,C,E,E,D,D,E,E,B,D,D,C,B,A,D,E,C
E461,A,B,,B,,,E,,D,A,E,,C,A,D,A,E,C,D,B,E,,B,C,B,,,,C,C,A,C
E462,B,,C,C,C,D,D,B,D,D,D,,A,C,D,B,B,D,D,B,D,,B,C,A,,A,,A,,,B
E463,,D,,B,A,D,E,B,D,A,,,C,,C,C,E,D,E,B,E,,E,,C,,A,C,B,,A,A
E464,D,B,C,B,A,D,D,,D,A,,,C,,C,A,A,D,A,B,B,D,D,,A,D,A,C,D,B,A,A
E465,D,D,,B,A,D,A,E,D,A,D,A,C,,C,C,E,E,B,B,D,B,D,,D,C,A,D,C,A,A,C
E466,A,D,E,B,A,C,E,C,D,B,D,D,C,C,C,A,A,D,E,B,C,C,A,D,A,A,A,B,D,B,B,D
E467,B,D,,C,A,A,E,,C,D,E,E,A,A,C,C,E,C,D,A,E,C,D,D,A,,D,E,A,C,B,D
E468,D,B,D,B,E,,D,,D,A,D,A,C,C,C,C,E,C,B,B,E,,D,D,D,A,A,C,C,B,A,B
E469,C,D,D,B,E,,A,E,C,A,D,C,C,D,C,C,E,A,B,B,C,A,D,D,A,C,A,C,B,C,A,D
E470,B,D,,B,A,C,E,C,D,A,D,,C,,C,C,E,E,D,B,,C,A,D,B,,D,C,D,A,A,B
E471,A,D,B,B,A,,E,E,D,A,E,,C,C,C,A,E,D,C,B,,B,D,D,C,,D,E,B,B,A,A
E472,,,,E,E,D,D,,D,A,E,,C,,B,C,A,B,,B,C,A,,D,D,,A,A,B,E,E,
E473,D,D,,B,,D,E,,D,C,D,A,C,C,C,A,E,D,,B,E,C,D,,A,A,D,C,D,B,A,A
E474,A,C,C,B,A,D,E,A,D,D,E,C,A,D,C,A,C,E,C,B,D,E,D,E,A,C,A,C,C,,D,A
E475,B,C,D,C,A,A,E,E,D,C,B,B,B,E,C,C,E,A,D,B,B,C,C,D,,C,A,,E,C,A,C
E476,,D,C,B,E,B,D,,D,A,D,E,C,C,B,A,C,D,A,B,C,B,D,A,A,A,A,C,C,E,A,A
E477,A,D,B,B,A,D,E,E,D,B,D,B,A,C,C,C,A,D,E,B,A,B,D,D,A,C,D,C,C,A,A,A
E478,C,D,E,A,,E,A,A,D,C,E,A,,,A,D,A,D,D,,E,C,C,,,,D,A,E,E,D,C
E479,D,D,,B,A,A,E,,D,B,C,B,C,,C,A,E,E,,B,D,B,D,D,C,A,D,C,D,B,A,D
E480,,,,,,,E,,C,C,,,,,,B,,C,,,,,,,,,A,,,,C,
E481,A,D,C,A,A,D,E,D,D,B,B,B,C,C,C,A,A,A,B,B,E,B,C,C,A,C,D,C,B,A,A,A
E482,D,D,E,,D,A,D,C,D,D,C,B,A,,C,D,A,A,D,C,B,C,E,E,,C,A,E,D,A,D,C
E483,,D,,,E,D,A,E,D,D,,B,D,D,B,E,E,A,D,B,B,,C,,D,,A,C,A,,A,
E484,D,D,C,B,,,A,,D,E,D,,A,,D,C,E,D,D,B,E,E,C,D,A,A,A,,C,,A,A
E485,,A,E,C,E,A,C,,D,D,B,,E,,B,A,D,A,A,A,,E,B,D,,,A,,B,A,B,C
E486,C,D,C,B,E,B,E,E,D,B,C,A,,A,C,C,E,D,C,B,D,B,D,E,A,A,A,B,E,,A,A
E487,A,D,D,A,A,D,E,E,D,A,C,C,C,C,C,C,B,B,B,B,C,B,D,D,A,A,D,C,B,A,A,A
E488,A,D,C,B,A,D,E,A,D,D,E,A,C,,C,D,E,D,,B,,C,,A,D,C,C,,D,E,C,
E489,D,C,A,B,C,E,E,A,C,D,E,C,B,C,A,D,A,C,D,B,B,E,D,C,C,,A,B,C,B,E,D
E490,D,D,E,B,A,D,E,B,C,A,,,C,C,C,A,E,A,E,B,E,B,B,D,A,,A,C,,E,A,A
E491,E,D,D,D,E,D,E,C,D,A,D,B,A,C,B,C,E,B,C,B,D,B,A,D,A,A,A,C,B,B,C,C
E492,D,D,E,B,E,E,D,E,D,A,C,,C,C,C,A,E,A,A,B,E,B,D,D,B,C,A,C,,A,E,C
E493,A,D,D,B,E,,E,B,D,A,D,C,,C,E,C,A,D,A,B,D,B,D,D,C,A,A,,E,A,A,C
E494,D,D,D,A,A,B,D,C,A,E,D,B,C,C,D,A,E,E,C,B,D,C,D,A,A,C,A,C,D,B,E,E
E495,B,,B,D,,,,D,,,E,,,A,,,,D,,A,B,,D,C,A,,,,E,A,,D
E496,C,D,,B,E,E,E,C,D,A,,B,C,D,C,C,E,E,E,B,C,B,A,A,A,C,A,A,C,E,A,B
E497,B,D,B,E,E,E,E,E,D,A,E,B,A,D,B,D,E,A,C,B,B,C,D,A,A,E,A,D,C,A,A,B
E498,B,B,C,A,C,C,A,B,D,A,E,C,C,D,B,C,E,C,E,B,D,C,B,A,A,E,A,B,A,C,D,C
E499,A,,E,E,A,,B,,A,A,E,E,D,A,D,D,B,E,E,D,A,A,,E,,C,D,E,,E,C,C
E500,A,D,E,B,,D,A,,D,B,E,,C,,C,C,B,B,D,B,B,B,C,,,,D,C,C,B,A,D
E501,A,E,B,E,E,E,B,B,D,C,C,,D,,B,A,A,C,D,,B,D,B,B,,,A,,B,A,A,B
E502,A,C,C,A,E,B,A,C,D,D,E,B,E,C,C,A,A,E,D,B,B,C,C,D,E,D,A,C,D,A,D,C
E503,C,D,C,B,A,A,E,E,D,A,D,C,C,D,C,C,A,B,D,B,D,B,C,C,A,C,D,C,C,A,A,A
E504,B,A,,B,E,A,E,C,D,C,D,,E,,B,B,A,E,,B,C,D,C,,,E,D,B,D,,A,C
E505,D,B,,B,E,E,D,B,A,D,,B,C,C,C,A,,A,B,B,E,A,D,C,A,D,D,C,D,B,A,A
E506,D,D,D,B,E,A,D,A,D,D,B,A,B,D,D,D,A,A,E,C,C,D,D,D,A,E,A,B,A,E,E,C
E507,A,D,,A,E,D,E,E,D,A,D,B,C,,C,A,A,D,A,B,E,B,D,,A,A,A,B,B,,B,A
E508,C,D,D,A,A,D,E,C,D,B,D,C,C,C,C,C,E,D,D,B,D,B,D,D,A,C,D,C,B,A,A,A
E509,A,,C,E,,,A,E,D,D,E,,B,,E,D,A,A,D,,E,C,,A,A,,A,,E,A,A,C
E510,A,B,E,B,A,E,E,,D,D,C,,C,,C,B,E,D,A,B,D,B,D,D,C,,A,C,C,E,A,A
E511,A,D,B,B,A,D,A,,D,D,D,A,C,D,C,C,E,E,D,B,E,B,D,D,A,C,D,C,A,E,A,C
E512,A,D,B,B,A,D,E,E,C,A,D,C,C,C,C,A,E,A,B,B,B,B,D,D,A,C,D,C,C,D,D,A
E513,D,D,D,C,A,D,E,B,A,A,D,C,C,D,C,C,E,A,A,B,D,E,D,C,A,A,A,C,B,B,A,E
E514,A,C,B,C,A,E,E,A,D,D,,,C,B,C,C,E,D,E,B,B,C,D,C,A,A,D,D,B,,C,
E515,C,D,,A,A,D,,A,D,D,,,C,,C,B,A,B,B,B,B,B,,C,A,,A,B,B,A,A,A
E516,B,D,B,C,A,E,E,E,D,B,D,A,C,D,C,C,B,C,A,B,C,B,D,C,D,A,A,C,C,C,,A
E517,B,D,,B,E,A,D,A,D,D,B,C,B,D,A,A,E,C,B,B,D,,B,A,B,A,A,C,B,B,A,B
E518,,,C,A,,,A,A,D,D,A,B,B,,B,D,B,,E,B,,E,,D,,,A,C,D,,,
E519,A,D,C,A,C,D,D,B,D,A,C,A,C,D,D,C,E,D,,B,D,,,D,E,,A,C,B,B,,B
E520,D,B,C,B,A,C,E,C,D,A,C,C,A,D,C,C,A,D,A,B,D,C,D,E,A,C,B,B,,C,A,A
E521,C,D,,B,A,D,E,E,C,A,,C,C,,C,C,E,D,A,B,E,E,D,,A,C,A,C,A,B,A,A
E522,E,E,C,B,C,A,E,B,D,A,E,E,E,A,C,D,B,B,D,A,A,E,A,E,A,D,B,D,C,A,B,D
E523,A,B,D,B,A,D,E,C,D,C,D,,A,C,C,A,E,E,A,B,E,C,D,D,A,C,A,C,D,A,B,C
E524,,D,,B,A,D,E,,D,A,,,C,,C,C,E,D,,B,E,B,D,,A,,D,,B,C,A,
E525,A,D,C,B,A,B,E,E,C,A,D,B,C,D,C,A,E,E,D,B,E,B,D,D,A,C,D,E,C,A,A,B
E526,,A,,C,E,A,E,,A,B,E,,B,,E,,C,E,A,,,,,,,,A,,,E,D,
E527,D,D,,,B,E,D,C,D,B,E,,A,,B,C,E,C,D,B,B,C,C,,A,A,A,B,D,C,A,C
E528,A,D,D,,A,C,E,A,D,A,D,A,A,D,B,C,E,D,,B,E,C,D,C,E,C,A,D,C,C,A,E
E529,D,D,,B,,C,A,,D,B,,C,A,,C,A,E,A,,B,D,C,C,,A,,A,E,B,,,
E530,,,,D,D,,D,,D,C,,,B,A,B,D,C,E,E,,D,C,D,,,,,,A,C,C,C
E531,A,B,D,B,A,E,B,B,D,A,,,C,C,C,C,E,D,B,B,D,B,D,,A,,D,C,A,A,A,A
E532,A,C,B,C,E,D,E,C,B,E,A,B,E,D,A,C,E,C,D,D,A,B,D,B,E,A,D,D,C,C,A,C
E533,A,D,,A,E,A,D,A,D,A,D,,A,D,B,B,E,C,D,B,C,C,B,E,B,A,A,C,D,C,D,B
E534,E,D,D,A,A,D,E,A,D,A,D,,B,E,C,C,B,B,B,B,B,B,E,,D,D,A,D,A,A,E,C
E535,A,D,D,A,A,D,D,E,D,A,D,D,C,E,C,C,A,D,D,B,D,B,D,D,A,C,D,C,D,A,A,A
E536,B,C,,B,,C,B,,D,D,E,,E,B,C,B,B,D,A,B,E,C,D,A,A,A,A,D,D,E,,D
E537,A,D,C,B,A,D,E,C,D,B,D,,C,C,C,C,B,D,B,B,D,B,A,B,E,C,E,C,B,B,A,A
E538,D,D,,,E,A,D,C,C,A,B,,C,C,C,A,D,E,,,C,C,,,A,C,A,,E,A,,C
E539,E,A,E,B,E,A,D,C,D,B,E,B,D,A,D,A,C,D,D,A,D,C,D,B,D,B,A,D,E,B,A,E
E540,B,A,B,A,C,A,B,E,B,D,B,E,D,B,D,D,E,E,D,C,B,E,E,E,A,D,D,E,A,C,E,A
E541,D,D,,B,C,B,E,C,D,A,,B,B,C,C,A,A,C,D,B,,E,A,C,A,,B,C,D,E,E,
E542,D,D,D,B,A,D,A,E,C,B,D,A,C,C,C,A,A,D,E,B,D,B,D,D,A,C,D,C,C,A,A,A
E543,D,D,,B,A,D,E,E,D,B,D,,C,,C,C,A,D,B,B,C,,D,,A,C,A,C,B,,A,A
E544,E,B,E,B,C,C,E,E,D,D,A,E,C,A,E,C,E,D,C,B,B,D,D,A,A,A,A,D,D,E,A,D
E545,,D,,A,E,,A,B,D,C,B,,D,,C,A,B,D,A,B,A,E,A,,A,,D,B,B,C,E,
E546,A,D,,D,A,D,E,A,D,A,E,C,C,D,C,C,E,D,D,B,,B,B,D,A,,D,E,C,C,A,C
E547,D,D,B,A,E,E,E,E,D,A,D,,A,C,,C,E,C,D,B,C,B,B,,A,C,A,C,D,C,A,D
E548,B,D,D,B,A,D,E,C,D,D,E,A,B,D,C,C,E,A,E,B,E,C,D,D,C,D,A,E,B,C,A,
E549,,,C,C,,D,A,,D,,E,,D,,B,D,B,C,,,,C,,,,E,A,,C,,,
E550,A,,B,B,A,,D,C,D,A,,,,A,B,B,E,D,,B,B,,B,D,,,E,,,B,A,A
E551,,D,,B,A,D,D,B,D,D,A,B,B,A,B,B,E,B,,B,C,C,B,C,A,,A,C,D,A,,
E552,D,D,D,B,A,D,D,E,C,A,D,A,C,C,C,D,A,A,E,B,C,B,C,D,A,C,D,C,,B,A,A
E553,A,D,,B,A,D,A,,C,A,,,C,,D,C,A,D,B,B,B,B,D,,A,C,D,D,,A,D,A
E554,A,D,C,B,E,A,E,B,D,A,D,,D,C,C,A,B,E,D,B,A,C,C,D,,,D,C,B,A,A,A
E555,D,D,E,C,C,B,B,A,D,D,D,D,,,A,A,E,A,E,B,B,C,E,D,A,B,A,C,A,C,D,B
E556,D,A,,B,A,D,B,E,D,D,,B,C,C,C,A,D,E,E,B,A,B,A,D,D,,A,B,A,C,A,A
E557,A,D,D,B,E,D,E,C,D,A,D,,C,,C,C,A,B,B,B,,B,,C,A,C,D,C,D,B,A,D
E558,C,A,E,D,E,A,D,A,C,A,D,C,B,B,A,D,C,A,E,B,C,C,B,C,E,C,A,E,A,A,D,B
E559,A,D,C,B,A,D,E,E,D,B,D,E,C,,C,C,A,E,A,B,D,B,D,D,A,A,A,C,C,B,A,A
E560,C,D,E,C,E,D,C,B,D,A,D,A,C,A,C,D,B,E,A,B,D,C,A,D,D,C,D,C,C,B,A,C
E561,A,,,B,E,A,,,D,D,E,B,A,E,E,C,A,C,D,B,B,,C,D,E,,A,,D,,E,
E562,B,B,D,A,C,E,A,C,B,D,D,E,C,B,B,C,B,C,D,D,D,C,B,D,D,E,E,C,D,E,C,C
E563,C,D,D,B,A,D,E,E,D,A,D,C,C,D,C,C,A,D,B,B,D,B,D,A,A,C,D,C,C,A,A,A
E564,A,D,,B,A,A,E,C,D,D,C,A,C,C,C,A,A,D,C,B,B,C,D,,A,,A,C,B,C,A,D
E565,,D,C,B,C,C,A,,C,D,,,B,D,C,C,E,D,D,B,,C,C,D,A,,A,D,A,C,,
E566,C,D,E,C,A,E,E,E,D,B,D,D,A,B,A,C,E,A,A,B,C,C,A,D,A,A,A,C,E,E,B,
E567,D,D,,B,,C,E,B,D,A,,,A,,C,C,E,E,B,B,D,A,A,C,A,,A,C,D,C,A,A
E568,B,D,E,A,D,A,E,D,D,B,E,A,E,B,C,C,E,E,C,B,A,C,D,,C,B,A,,B,C,A,E
E569,C,B,B,C,E,A,A,E,D,D,D,A,B,A,C,A,A,C,A,B,B,C,A,D,A,C,E,D,C,D,E,D
E570,B,B,D,B,E,B,D,B,D,A,D,B,C,,C,C,E,E,D,B,E,C,D,B,A,C,D,,B,A,A,
E571,B,D,D,A,A,B,D,E,D,B,C,E,B,C,B,C,E,D,D,B,C,C,C,D,D,C,A,C,D,A,A,D
E572,E,,,B,,E,A,E,D,B,C,,,D,E,C,A,D,,B,,D,,,A,,,D,,,,
E573,B,,,C,D,A,A,,D,D,,,,,C,D,E,E,,B,E,,B,,,,A,C,E,C,A,
E574,D,C,B,D,A,D,D,C,D,B,B,D,D,E,A,D,E,D,D,A,A,B,B,B,E,D,E,E,C,C,E,C
E575,D,A,E,B,D,,E,B,D,B,D,,C,C,C,C,A,D,A,B,E,B,D,D,A,A,D,C,C,,A,B
E576,A,D,E,B,A,B,E,E,D,A,E,B,C,C,C,D,C,E,A,B,B,C,D,D,A,C,D,C,D,E,A,A
E577,C,B,,A,E,,D,E,D,C,D,B,,,C,D,B,D,E,A,D,C,D,,A,E,A,,E,,E,A
E578,C,,,B,,A,D,E,D,D,E,,,A,B,C,A,D,,B,D,,D,B,E,,A,E,C,C,C,A
E579,C,B,,E,,D,A,,D,A,,,A,A,B,D,A,C,B,D,E,,E,,,,B,,B,A,D,
E580,D,D,B,,A,D,E,E,D,D,D,C,B,B,C,C,B,D,D,B,C,B,E,D,C,C,B,B,D,C,A,C
E581,C,B,E,C,A,A,A,A,A,D,E,A,C,D,D,A,C,C,B,B,A,D,C,A,C,D,A,D,C,C,A,A
E582,D,E,E,C,E,C,D,C,D,D,E,C,E,E,C,C,D,A,D,B,E,C,C,B,D,C,E,E,D,B,A,B
E583,A,,,A,E,,E,,D,D,E,,,,C,A,,D,B,B,,B,E,,C,,C,,,,E,A
E584,A,A,D,B,A,C,E,A,D,D,B,D,A,E,B,D,A,D,A,B,B,B,A,E,E,B,A,D,E,B,A,C
E585,D,D,,B,E,A,B,C,D,D,C,,,,A,C,A,B,,B,E,,,,E,,B,,D,B,B,
E586,E,D,,B,E,D,E,,D,A,D,A,A,,C,A,E,D,B,B,B,A,D,,E,C,A,B,C,A,A,A
E587,C,B,,B,A,D,E,B,D,A,E,,C,,C,C,E,D,B,B,E,B,D,,D,,A,C,,C,E,
E588,E,D,D,E,C,D,A,E,D,D,D,D,D,A,D,C,E,A,D,B,C,B,E,E,A,C,D,C,E,B,A,C
E589,D,D,C,,E,C,E,E,C,A,E,A,C,A,D,A,E,E,A,B,C,B,D,A,C,C,D,C,D,D,A,
E590,D,D,,B,E,E,A,A,C,D,C,C,C,C,,B,E,A,,B,C,A,D,C,A,,A,C,A,D,E,D
E591,B,D,E,A,,A,A,,A,C,,E,,D,B,D,A,,E,,D,,A,,,,B,,B,A,C,B
E592,B,B,B,B,E,A,E,C,A,B,C,D,D,D,A,D,A,B,A,D,D,C,B,D,A,C,B,E,D,B,D,D
E593,E,E,,B,E,E,A,A,D,A,B,,E,E,C,D,,A,,A,C,D,,,C,,,B,D,B,,
E594,C,D,,D,E,C,E,B,D,A,E,A,C,,C,C,A,D,E,B,C,C,D,,E,A,A,B,B,C,A,D
E595,D,,,D,,,B,,D,C,,,,,B,,B,D,,B,A,,D,A,,,A,,E,,,
E596,D,D,E,A,,A,B,A,D,A,E,A,C,,B,C,E,A,,B,D,C,,C,,C,B,C,D,,E,C
E597,A,D,B,B,,E,E,B,D,A,D,,C,D,C,C,A,B,A,B,D,B,C,C,A,C,E,C,D,B,A,
E598,,C,,B,,A,,,D,A,C,,C,,C,C,E,B,,A,,B,D,C,E,,E,,,C,,C
E599,,D,D,E,A,E,E,C,C,A,E,B,A,E,C,C,A,D,B,B,D,B,E,,A,,E,C,E,,A,D
E600,E,C,E,D,A,A,A,D,A,D,B,B,D,B,A,D,D,D,B,E,A,E,C,A,D,D,D,B,A,D,B,B
E601,D,,D,B,C,D,B,C,A,B,C,D,E,A,C,B,E,A,C,D,B,C,C,D,C,E,B,C,B,C,A,D
E602,D,D,A,B,A,A,E,B,D,D,E,C,D,C,D,D,C,B,D,B,E,E,E,D,E,A,E,B,B,C,E,C
E603,C,E,B,C,E,A,D,D,D,D,E,B,E,D,B,A,C,C,A,B,A,A,E,A,C,B,A,B,A,D,E,A
E604,A,C,E,E,D,D,E,E,B,E,,E,E,A,C,E,A,E,E,A,C,A,D,E,A,,C,C,D,C,D,C
E605,A,D,B,B,E,B,B,E,D,A,D,C,E,D,C,A,B,E,B,B,D,B,D,D,A,E,D,C,D,A,A,A
E606,A,,,B,A,E,,C,D,D,,C,,B,,A,E,D,,B,E,,C,D,A,,A,C,,,D,E
E607,,D,D,B,E,,E,,D,A,D,,C,B,C,C,B,E,B,B,C,C,D,,A,C,D,C,C,C,A,
E608,C,A,,C,A,D,E,A,A,D,D,,,A,C,C,A,D,A,B,B,D,,,E,D,A,B,D,,D,
E609,,,,E,,,,,D,C,,,C,,D,A,B,,A,,,,,,,,,,,,E,A
E610,A,C,D,B,A,B,D,,D,A,D,C,C,,C,D,D,D,B,B,B,B,D,,A,C,A,C,E,B,A,D
E611,D,D,E,E,E,B,D,E,D,A,E,B,B,E,D,C,C,A,E,B,D,B,D,C,A,A,D,B,D,A,A,C
E612,C,B,B,B,E,D,E,,D,A,B,A,A,C,A,A,E,D,E,B,E,C,D,A,A,,D,B,C,C,E,C
E613,B,E,C,B,A,C,A,E,D,B,E,D,A,D,D,C,B,B,C,B,B,C,D,D,A,A,A,C,D,B,E,B
E614,D,D,E,B,A,D,A,E,D,C,E,A,A,C,B,C,E,B,D,B,D,C,A,E,C,C,A,C,D,E,E,A
E615,D,D,C,A,D,D,D,C,D,D,D,D,A,,C,A,D,C,D,B,E,D,B,E,A,A,D,B,A,B,D,A
E616,D,D,D,B,E,A,D,E,D,A,D,C,C,,C,C,A,A,E,B,A,B,D,D,A,C,A,C,C,A,A,
E617,B,E,,A,E,E,B,,D,D,,,D,,B,D,E,B,,,E,,B,C,,B,A,,,E,B,A
E618,C,B,C,A,E,,D,C,D,C,E,A,A,B,D,D,B,C,D,B,C,C,B,A,E,B,A,E,D,B,A,C
E619,E,D,D,B,A,D,A,E,D,B,D,A,A,C,C,C,E,D,E,B,D,B,D,D,,C,D,C,C,A,A,A
E620,D,A,B,A,E,D,D,E,D,A,C,D,A,,C,C,E,D,D,B,E,C,D,D,C,C,D,D,A,D,A,C
E621,A,A,,B,A,D,D,D,C,C,E,,C,C,C,A,E,C,,D,C,,A,A,,,A,D,C,A,D,D
E622,C,B,C,A,A,A,E,E,C,A,D,E,E,C,D,A,E,B,D,B,D,E,A,E,A,C,D,C,D,A,D,D
E623,,,,C,E,B,E,,E,C,E,,D,,C,A,B,D,B,A,,A,,,,,,D,B,,D,
E624,C,C,,,E,,B,C,D,A,,,D,E,D,C,B,C,,B,D,B,C,D,,,A,C,,D,,C
E625,B,D,,E,E,E,D,A,D,D,D,,,A,C,C,E,A,A,B,D,D,A,,D,B,A,,B,C,E,E
E626,A,B,C,B,E,C,E,D,D,D,D,C,C,D,C,A,E,E,B,B,E,B,D,,D,A,A,C,C,B,E,A
E627,D,D,D,B,E,,E,E,D,A,D,C,C,,C,C,E,D,B,B,D,C,C,D,D,A,D,C,C,,A,A
E628,A,D,D,B,A,D,D,E,D,A,D,A,C,C,C,C,E,D,B,B,A,B,D,D,A,A,D,C,,,A,A
E629,C,D,D,B,A,E,D,B,D,A,D,,C,B,C,C,E,D,D,B,D,C,D,D,D,,D,C,,C,A,
E630,B,,C,B,,,E,,D,,D,,E,C,C,A,C,D,D,B,,B,D,,A,,A,D,B,,,A
E631,A,B,,B,E,D,A,,D,A,,,D,E,B,A,E,D,B,B,E,C,A,,C,,A,,D,,A,D
E632,D,D,,B,C,D,A,,D,C,D,,C,D,B,D,E,D,,B,,,D,A,A,A,A,,E,,E,E
E633,D,D,D,B,A,D,B,E,D,A,D,E,C,D,C,C,E,D,B,B,D,B,A,,A,C,A,C,D,B,A,C
E634,B,D,,C,A,A,E,,D,C,B,,C,,C,B,C,D,,B,D,C,,A,A,,B,,,D,B,D
E635,E,B,E,B,E,D,A,D,D,C,E,B,A,C,D,C,A,E,,A,B,,A,C,C,,E,,,B,C,E
E636,,A,,A,E,A,D,C,D,A,E,C,A,C,C,C,E,D,D,D,,C,D,C,A,C,D,C,E,,B,
E637,,B,,B,C,E,,C,D,A,,,C,,C,D,E,E,D,,B,,,,B,,A,,B,B,B,B
E638,D,B,,B,E,D,E,,D,D,E,,C,C,C,D,E,A,A,B,D,B,D,D,D,,A,A,,,C,A
E639,D,B,E,A,C,D,D,E,C,D,E,E,C,D,D,D,E,B,D,A,A,C,C,A,D,,A,D,E,C,D,D
E640,D,A,E,C,E,D,D,A,C,D,E,E,A,E,B,A,C,B,D,B,B,C,C,D,D,B,A,B,A,B,D,C
E641,A,,,E,,A,D,,D,C,,,A,A,C,A,E,D,,B,A,,,,D,,A,A,,C,A,D
E642,,D,,B,,,A,,D,B,D,,A,D,C,C,C,D,A,B,E,B,,D,A,A,A,C,D,,,D
E643,C,D,E,A,E,D,,E,D,D,E,C,C,,C,C,E,A,C,B,,C,C,,,,A,C,D,,,A
E644,B,,B,A,,,A,,D,C,,E,E,B,D,D,E,D,,B,B,B,D,,D,,D,,B,B,A,
E645,D,D,,B,A,D,E,C,D,B,D,C,C,A,B,C,E,C,D,B,B,B,D,D,A,A,D,E,B,B,A,C
E646,,D,,,E,D,,,C,,,,,,,,E,C,,B,D,,C,A,E,,E,D,,C,E,D
E647,D,D,D,A,E,A,D,E,D,C,D,A,A,D,C,D,E,A,,B,B,A,E,,A,C,A,,C,,B,C
E648,B,A,E,C,E,A,E,B,C,B,E,,B,B,A,D,B,B,E,D,C,C,D,E,B,B,A,B,B,A,B,D
E649,B,D,,B,E,E,E,,D,A,D,,E,,C,C,E,D,A,B,C,B,D,D,A,C,A,C,D,B,A,A
E650,B,D,D,C,E,D,E,A,C,D,D,E,C,C,E,B,B,C,,B,A,A,D,D,A,C,A,C,D,C,A,
E651,A,C,,D,A,D,E,E,D,A,B,C,C,C,C,D,E,E,A,B,B,C,D,D,C,C,E,B,C,E,E,D
E652,D,D,D,B,A,D,A,E,D,A,D,A,C,C,C,C,E,C,E,B,D,B,C,D,A,A,C,C,B,E,A,C
E653,A,B,E,E,E,D,E,E,D,D,E,,A,E,B,A,B,B,D,B,D,C,B,E,,,A,C,D,A,E,
E654,A,,B,B,A,A,E,E,D,B,D,,C,D,C,C,A,D,A,B,E,B,D,D,A,,A,D,C,A,A,C
E655,B,D,B,E,C,B,D,A,A,B,D,B,D,A,A,D,E,A,D,A,E,D,B,E,D,E,B,D,C,B,B,A
E656,A,B,A,C,A,E,A,,D,E,D,,C,C,D,D,E,D,A,B,,C,,D,,D,D,A,B,C,D,D
E657,D,D,D,B,A,C,E,,E,A,E,,C,,A,A,E,D,,B,E,C,D,D,A,C,D,A,D,C,A,
E658,A,D,B,B,A,D,E,D,D,B,D,D,C,,C,D,A,A,D,B,B,C,B,D,A,A,A,C,E,B,A,A
